Time Stamp,10 Torr (AI0),1000 Torr (AI1),0-25% o2 (AI2),1000ppm O2 (AI3),Vac Sol Timer,Gas Sol Timer,O2 Sens Timer,Vac Sol State,Gas Sol State,O2 Sens Pwr
11-44-57,10.153,391.73,20.46,-246,4.7,0.0,0.0,1,0,0
11-45-03,10.152,392.61,20.17,-246,0.0,3.8,0.0,0,1,0
11-45-08,10.152,501.18,20.26,-246,0.0,9.6,0.0,0,1,0
11-45-14,10.152,595.63,21.23,-246,0.0,15.5,0.0,0,1,0
11-45-20,10.152,681.37,21.53,-246,0.0,21.3,0.0,0,1,0
11-45-26,10.152,602.25,21.33,-246,0.5,0.0,0.0,1,0,0
11-45-32,10.152,320.65,20.45,-246,0.0,0.9,0.0,0,1,0
11-45-37,10.153,449.43,20.36,-246,0.0,6.7,0.0,0,1,0
11-45-43,10.152,551.20,20.65,-246,0.0,12.6,0.0,0,1,0
11-45-49,10.152,641.87,21.04,-246,0.0,18.4,0.0,0,1,0
11-45-55,10.152,722.72,20.55,-246,0.0,24.2,0.0,0,1,0
11-46-01,10.152,386.45,19.48,-246,3.5,0.0,0.0,1,0,0
11-46-07,10.151,411.30,19.10,-246,0.0,4.2,0.0,0,1,0
11-46-12,10.152,520.05,19.20,-246,0.0,10.0,0.0,0,1,0
11-46-18,10.152,611.97,19.78,-246,0.0,15.8,0.0,0,1,0
11-46-24,10.153,693.73,19.09,-246,0.0,21.6,0.0,0,1,0
11-46-30,10.152,538.07,17.63,-246,1.2,0.0,0.0,1,0,0
11-46-36,10.151,347.57,16.76,-246,0.0,1.5,0.0,0,1,0
11-46-41,10.152,474.75,16.96,-246,0.0,7.3,0.0,0,1,0
11-46-47,10.151,570.49,17.44,-246,0.0,13.1,0.0,0,1,0
11-46-53,10.152,655.18,17.06,-246,0.0,18.9,0.0,0,1,0
11-46-59,10.152,733.90,15.59,-246,0.0,24.8,0.0,0,1,0
11-47-05,10.152,354.56,14.12,-246,4.2,0.0,0.0,1,0,0
11-47-10,10.152,424.45,14.12,-247,0.0,4.6,0.0,0,1,0
11-47-16,10.152,529.32,14.41,-246,0.0,10.5,0.0,0,1,0
11-47-22,10.152,617.41,14.51,-246,0.0,16.3,0.0,0,1,0
11-47-28,10.151,698.96,13.25,-246,0.0,22.1,0.0,0,1,0
11-47-34,10.153,497.77,11.68,-246,1.6,0.0,0.0,1,0,0
11-47-39,10.152,365.21,11.19,-246,0.0,2.1,0.0,0,1,0
11-47-45,10.152,487.21,11.58,-246,0.0,7.9,0.0,0,1,0
11-47-51,10.152,580.07,12.07,-246,0.0,13.7,0.0,0,1,0
11-47-57,10.152,664.16,11.19,-246,0.0,19.5,0.0,0,1,0
11-48-03,10.151,742.58,9.72,-246,0.0,25.3,0.0,0,1,0
11-48-09,10.152,326.47,8.84,-246,4.9,0.0,0.0,1,0,0
11-48-14,10.152,440.42,9.14,-246,0.0,5.2,0.0,0,1,0
11-48-20,10.152,541.89,9.53,-246,0.0,11.0,0.0,0,1,0
11-48-26,10.152,628.65,9.24,-246,0.0,16.9,0.0,0,1,0
11-48-32,10.152,709.49,8.26,-246,0.0,22.7,0.0,0,1,0
11-48-38,10.152,450.99,7.08,-246,2.3,0.0,0.0,1,0,0
11-48-43,10.152,385.24,6.98,-246,0.0,2.7,0.0,0,1,0
11-48-49,10.152,501.08,7.38,-246,0.0,8.5,0.0,0,1,0
11-48-55,10.151,592.30,7.67,-246,0.0,14.3,0.0,0,1,0
11-49-01,10.152,675.49,6.89,-246,0.0,20.1,0.0,0,1,0
11-49-07,10.152,753.29,5.91,-246,0.0,25.9,0.0,1,0,0
11-49-12,10.153,308.62,5.32,-246,0.0,0.3,0.0,0,1,0
11-49-18,10.152,459.03,5.61,-246,0.0,6.2,0.0,0,1,0
11-49-24,10.151,556.93,5.91,-246,0.0,12.0,0.0,0,1,0
11-49-30,10.152,642.39,5.71,-246,0.0,17.8,0.0,0,1,0
11-49-36,10.152,722.75,4.83,-246,0.0,23.6,0.0,0,1,0
11-49-42,10.152,390.59,4.15,-246,3.4,0.0,0.0,1,0,0
11-49-47,10.152,410.98,4.15,-246,0.0,3.8,0.0,0,1,0
11-49-53,10.152,519.49,4.44,-246,0.0,9.6,0.0,0,1,0
11-49-59,10.152,608.57,4.54,-246,0.0,15.4,0.0,0,1,0
11-50-05,10.152,691.05,3.95,-246,0.0,21.2,0.0,0,1,0
11-50-11,10.152,546.18,3.46,-246,1.0,0.0,0.0,1,0,0
11-50-16,10.152,347.97,3.17,-246,0.0,1.4,0.0,0,1,0
11-50-22,10.152,479.12,3.36,-246,0.0,7.2,0.0,0,1,0
11-50-28,10.152,573.68,3.56,-246,0.0,13.0,0.0,0,1,0
11-50-34,10.152,658.75,3.27,-246,0.0,18.8,0.0,0,1,0
11-50-40,10.152,737.71,2.87,-246,0.0,24.6,0.0,0,1,0
11-50-45,10.152,345.73,2.48,-246,4.4,0.0,0.0,1,0,0
11-50-51,10.152,433.83,2.58,-246,0.0,4.8,0.0,0,1,0
11-50-57,10.152,537.39,2.77,-246,0.0,10.6,0.0,0,1,0
11-51-03,10.152,625.12,2.77,-246,0.0,16.4,0.0,0,1,0
11-51-09,10.152,706.57,2.38,-246,0.0,22.2,0.0,0,1,0
11-51-14,10.152,455.82,1.99,-246,2.2,0.0,0.0,1,0,0
11-51-20,10.152,383.67,1.99,-246,0.0,2.7,0.0,0,1,0
11-51-27,10.152,519.23,2.09,-89,0.0,9.6,5.7,0,1,1
11-51-33,10.152,608.68,2.18,-89,0.0,15.4,11.5,0,1,1
11-51-39,10.151,691.31,1.89,-89,0.0,21.2,17.4,0,1,1
11-51-45,10.152,532.19,1.60,-89,1.2,0.0,23.2,1,0,1
11-51-50,10.152,353.30,1.50,-89,0.0,1.5,29.0,0,1,1
11-51-56,10.152,482.63,1.60,-89,0.0,7.3,34.8,0,1,1
11-52-02,10.152,576.98,1.69,-89,0.0,13.1,40.6,0,1,1
11-52-08,10.151,661.52,1.60,-89,0.0,18.9,46.4,0,1,1
11-52-14,10.151,740.72,1.40,-89,0.0,24.8,52.2,0,1,1
11-52-19,10.152,330.11,1.31,-89,4.8,0.0,58.0,1,0,1
11-52-25,10.151,441.99,1.30,-89,0.0,5.2,63.9,0,1,1
11-52-31,10.152,543.86,1.30,-89,0.0,11.0,69.7,0,1,1
11-52-37,10.152,631.45,1.30,-89,0.0,16.9,75.5,0,1,1
11-52-43,10.151,712.56,1.20,-89,0.0,22.7,81.3,0,1,1
11-52-48,10.152,788.20,1.11,-89,0.0,28.5,87.1,0,1,1
11-52-54,10.152,853.14,0.91,-89,0.0,0.0,92.9,0,0,1
11-53-00,10.153,832.83,0.81,-89,0.0,0.0,98.7,0,0,1
11-53-06,10.152,826.07,0.71,-89,0.0,0.0,104.5,0,0,1
11-53-12,10.152,823.09,0.72,-89,0.0,0.0,110.3,0,0,1
11-53-18,10.152,821.65,0.71,-89,0.0,0.0,116.1,0,0,1
11-53-23,10.151,820.84,0.71,-89,0.0,0.0,121.9,0,0,1
11-53-29,10.151,820.57,0.72,-89,0.0,0.0,127.8,0,0,1
11-53-35,10.152,820.20,0.71,-90,0.0,0.0,133.6,0,0,1
11-53-41,10.152,820.09,0.71,-90,0.0,0.0,139.4,0,0,1
11-53-47,10.152,819.99,0.71,-89,0.0,0.0,145.2,0,0,1
11-53-52,10.152,819.90,0.71,-89,0.0,0.0,151.0,0,0,1
11-53-58,10.151,819.92,0.71,-89,0.0,0.0,156.8,0,0,1
11-54-04,10.152,819.94,0.71,-89,0.0,0.0,162.6,0,0,1
11-54-10,10.152,819.79,0.72,-90,0.0,0.0,168.4,0,0,1
11-54-16,10.151,819.86,0.71,-89,0.0,0.0,174.2,0,0,1
11-54-21,10.152,819.76,0.72,-90,0.0,0.0,180.0,0,0,1
11-54-27,10.152,819.88,0.72,-90,0.0,0.0,185.8,0,0,1
11-54-33,10.152,819.80,0.71,-90,0.0,0.0,191.6,0,0,1
11-54-39,10.152,819.79,0.72,-90,0.0,0.0,197.5,0,0,1
11-54-45,10.152,819.90,0.62,-89,0.0,0.0,203.3,0,0,1
11-54-50,10.153,819.84,0.62,-90,0.0,0.0,209.1,0,0,1
11-54-56,10.152,819.73,0.62,-89,0.0,0.0,214.9,0,0,1
11-55-02,10.152,819.73,0.62,-90,0.0,0.0,220.7,0,0,1
11-55-08,10.151,819.76,0.62,-89,0.0,0.0,226.5,0,0,1
11-55-14,10.152,819.73,0.62,-89,0.0,0.0,232.3,0,0,1
11-55-20,10.152,819.80,0.62,-89,0.0,0.0,238.1,0,0,1
11-55-25,10.152,819.80,0.62,-90,0.0,0.0,243.9,0,0,1
11-55-31,10.151,819.79,0.62,257,0.0,0.0,249.7,0,0,1
11-55-37,10.151,819.85,0.62,891,0.0,0.0,255.5,0,0,1
11-55-43,10.152,819.83,0.62,1030,0.0,0.0,261.4,0,0,1
11-55-49,10.153,819.89,0.62,1029,0.0,0.0,267.2,0,0,1
11-55-54,10.152,819.73,0.61,1029,0.0,0.0,273.0,0,0,1
11-56-00,10.152,819.75,0.61,1029,0.0,0.0,278.8,0,0,1
11-56-06,10.152,819.76,0.61,1028,0.0,0.0,284.6,0,0,1
11-56-12,10.152,819.80,0.61,1028,0.0,0.0,290.4,0,0,1
11-56-18,10.151,819.75,0.51,1028,0.0,0.0,296.2,0,0,1
11-56-23,10.152,819.77,0.52,1028,0.0,0.0,302.0,0,0,1
11-56-29,10.152,819.73,0.52,1028,0.0,0.0,307.8,0,0,1
11-56-35,10.152,521.41,0.52,1028,2.7,0.0,313.7,1,0,1
11-56-41,10.152,345.63,0.52,1028,0.0,1.3,319.5,0,1,1
11-56-47,10.152,481.14,0.61,1027,0.0,7.1,325.3,0,1,1
11-56-53,10.151,577.07,0.61,1027,0.0,13.0,331.2,0,1,1
11-56-58,10.152,662.22,0.52,1028,0.0,18.8,337.0,0,1,1
11-57-04,10.152,741.17,0.42,1027,0.0,24.6,342.8,0,1,1
11-57-10,10.152,330.95,0.41,1028,4.8,0.0,348.6,1,0,1
11-57-16,10.152,439.96,0.42,1027,0.0,5.1,354.4,0,1,1
11-57-22,10.151,542.32,0.42,1028,0.0,10.9,360.2,0,1,1
11-57-27,10.152,629.67,0.42,1027,0.0,16.7,366.0,0,1,1
11-57-33,10.152,710.83,0.32,1027,0.0,22.5,371.8,0,1,1
11-57-39,10.152,434.12,0.32,1027,2.6,0.0,377.7,1,0,1
11-57-45,10.152,391.87,0.32,1027,0.0,3.0,383.5,0,1,1
11-57-51,10.152,506.69,0.32,1027,0.0,8.8,389.3,0,1,1
11-57-56,10.152,597.84,0.32,1027,0.0,14.6,395.1,0,1,1
11-58-02,10.151,681.03,0.32,1027,0.0,20.5,400.9,0,1,1
11-58-08,10.152,598.80,0.32,876,0.5,0.0,406.7,1,0,1
11-58-14,10.152,326.50,0.32,808,0.0,0.8,412.5,0,1,1
11-58-20,10.152,468.27,0.32,808,0.0,6.6,418.3,0,1,1
11-58-26,10.151,565.67,0.32,836,0.0,12.5,424.2,0,1,1
11-58-31,10.151,651.48,0.22,772,0.0,18.3,430.0,0,1,1
11-58-37,10.153,731.59,0.22,692,0.0,24.1,435.8,0,1,1
11-58-43,10.151,806.13,0.22,592,0.0,29.9,441.6,0,1,1
11-58-49,10.152,846.25,0.22,504,0.0,0.0,447.4,0,0,1
11-58-55,10.152,831.39,0.22,440,0.0,0.0,453.2,0,0,1
11-59-00,10.152,825.44,0.12,404,0.0,0.0,459.0,0,0,1
11-59-06,10.153,822.84,0.12,393,0.0,0.0,464.8,0,0,1
11-59-12,10.151,821.66,0.12,385,0.0,0.0,470.6,0,0,1
11-59-18,10.152,821.19,0.13,376,0.0,0.0,476.5,0,0,1
11-59-24,10.152,820.85,0.12,372,0.0,0.0,482.3,0,0,1
11-59-29,10.151,820.61,0.13,368,0.0,0.0,488.1,0,0,1
11-59-35,10.152,820.71,0.13,365,0.0,0.0,493.9,0,0,1
12-00-39,10.152,820.23,0.13,328,0.0,0.0,557.8,0,0,1
12-01-49,10.153,820.16,0.13,288,0.0,0.0,627.5,0,0,1
12-02-59,10.152,820.07,0.13,256,0.0,0.0,697.2,0,0,1
12-04-08,10.151,820.10,0.13,220,0.0,0.0,766.9,0,0,1
12-05-18,10.152,820.02,0.13,200,0.0,0.0,836.6,0,0,1
12-06-28,10.152,820.06,0.13,176,0.0,0.0,906.3,0,0,1
12-07-37,10.152,819.90,0.13,152,0.0,0.0,976.0,0,0,1
