Time Stamp,10 Torr (AI0),1000 Torr (AI1),0-25% o2 (AI2),1000ppm O2 (AI3),Vac Sol Timer,Gas Sol Timer,O2 Sens Timer,Vac Sol State,Gas Sol State,O2 Sens Pwr
13-55-22,10.152,763.07,20.07,-246,0.0,0.0,0.0,0,0,0
13-55-28,10.152,763.03,20.06,-246,0.0,0.0,0.0,0,0,0
13-55-34,10.151,762.96,20.06,-246,0.0,0.0,0.0,0,0,0
13-55-40,10.152,434.02,19.48,-246,4.1,0.0,0.0,1,0,0
13-55-45,10.151,374.88,19.19,-246,0.0,2.9,0.0,0,1,0
13-55-51,10.151,492.84,19.29,-246,0.0,8.7,0.0,0,1,0
13-55-57,10.152,594.47,20.16,-246,0.0,14.5,0.0,0,1,0
13-56-03,10.152,686.88,20.55,-246,0.0,20.3,0.0,0,1,0
13-56-09,10.152,536.98,20.45,-246,1.2,0.0,0.0,1,0,0
13-56-15,10.152,341.55,19.48,-246,0.0,1.6,0.0,0,1,0
13-56-20,10.151,470.29,19.48,-246,0.0,7.4,0.0,0,1,0
13-56-26,10.152,575.38,19.87,-246,0.0,13.2,0.0,0,1,0
13-56-32,10.152,669.57,20.16,-246,0.0,19.1,0.0,0,1,0
13-56-38,10.150,753.54,19.67,-246,0.0,24.9,0.0,1,0,0
13-56-44,10.152,308.28,18.40,-246,0.0,0.5,0.0,0,1,0
13-56-49,10.151,452.97,18.41,-246,0.0,6.3,0.0,0,1,0
13-56-55,10.153,558.58,18.70,-246,0.0,12.1,0.0,0,1,0
13-57-01,10.152,650.81,18.80,-246,0.0,17.9,0.0,0,1,0
13-57-07,10.152,735.67,17.63,-246,0.0,23.7,0.0,0,1,0
13-57-13,10.151,338.68,16.27,-246,4.6,0.0,0.0,1,0,0
13-57-19,10.153,433.72,16.17,-246,0.0,5.0,0.0,0,1,0
13-57-24,10.153,542.56,16.46,-246,0.0,10.8,0.0,0,1,0
13-57-30,10.152,635.12,16.56,-246,0.0,16.6,0.0,0,1,0
13-57-36,10.152,720.81,15.19,-246,0.0,22.4,0.0,0,1,0
13-57-42,10.152,391.39,13.53,-246,3.4,0.0,0.0,1,0,0
13-57-48,10.151,411.59,13.44,-246,0.0,3.8,0.0,0,1,0
13-57-53,10.152,525.23,13.73,-246,0.0,9.6,0.0,0,1,0
13-57-59,10.152,619.57,13.93,-246,0.0,15.5,0.0,0,1,0
13-58-05,10.152,705.94,12.66,-246,0.0,21.3,0.0,0,1,0
13-58-11,10.153,441.13,11.19,-246,2.5,0.0,0.0,1,0,0
13-58-17,10.150,402.35,10.89,-246,0.0,3.1,0.0,0,1,0
13-58-23,10.153,520.77,11.19,-246,0.0,8.9,0.0,0,1,0
13-58-28,10.151,615.84,11.48,-246,0.0,14.8,0.0,0,1,0
13-58-34,10.152,703.02,10.41,-246,0.0,20.6,0.0,0,1,0
13-58-40,10.151,463.35,8.83,-246,2.1,0.0,0.0,1,0,0
13-58-46,10.152,382.38,8.54,-246,0.0,2.6,0.0,0,1,0
13-58-52,10.152,505.03,8.94,-246,0.0,8.4,0.0,0,1,0
13-58-57,10.152,601.78,9.23,-246,0.0,14.2,0.0,0,1,0
13-59-03,10.152,689.79,8.35,-246,0.0,20.0,0.0,0,1,0
13-59-09,10.151,529.73,7.17,-246,1.2,0.0,0.0,1,0,0
13-59-15,10.152,355.14,6.78,-246,0.0,1.6,0.0,0,1,0
13-59-21,10.152,488.47,7.17,-246,0.0,7.4,0.0,0,1,0
13-59-27,10.151,587.54,7.47,-246,0.0,13.2,0.0,0,1,0
13-59-32,10.152,676.58,6.79,-246,0.0,19.1,0.0,0,1,0
13-59-38,10.151,588.53,5.90,-246,0.5,0.0,0.0,1,0,0
13-59-44,10.152,343.70,5.31,-246,0.0,1.2,0.0,0,1,0
13-59-50,10.152,486.36,5.61,-246,0.0,7.0,0.0,0,1,0
13-59-56,10.152,586.49,5.90,-246,0.0,12.8,0.0,0,1,0
14-00-01,10.151,676.07,5.41,-246,0.0,18.6,0.0,0,1,0
14-00-07,10.152,601.60,4.64,-246,0.4,0.0,0.0,1,0,0
14-00-13,10.152,326.84,4.14,-246,0.0,0.8,0.0,0,1,0
14-00-19,10.151,473.29,4.44,-246,0.0,6.6,0.0,0,1,0
14-00-25,10.151,574.55,4.63,-246,0.0,12.4,0.0,0,1,0
14-00-31,10.152,664.55,4.44,-246,0.0,18.2,0.0,0,1,0
14-00-36,10.152,748.89,3.75,-246,0.0,24.1,0.0,0,1,0
14-00-42,10.151,303.66,3.26,-246,0.0,0.1,0.0,0,1,0
14-00-48,10.151,460.00,3.46,-246,0.0,5.9,0.0,0,1,0
14-00-54,10.152,563.42,3.66,-246,0.0,11.7,0.0,0,1,0
14-01-00,10.150,654.60,3.46,-246,0.0,17.6,0.0,0,1,0
14-01-06,10.150,739.46,2.97,-246,0.0,23.4,0.0,0,1,0
14-01-11,10.151,329.62,2.57,-246,4.8,0.0,0.0,1,0,0
14-01-17,10.152,445.89,2.67,-246,0.0,5.2,0.0,0,1,0
14-01-23,10.151,552.52,2.87,-246,0.0,11.0,0.0,0,1,0
14-01-29,10.151,644.78,2.77,-246,0.0,16.9,0.0,0,1,0
14-01-35,10.151,730.12,2.37,-246,0.0,22.7,0.0,0,1,0
14-01-41,10.151,358.28,1.98,-247,4.1,0.0,0.0,1,0,0
14-01-46,10.153,431.48,2.08,-247,0.0,4.5,0.0,0,1,0
14-01-52,10.152,541.52,2.18,-246,0.0,10.4,0.0,0,1,0
14-01-58,10.151,634.54,2.18,-246,0.0,16.2,0.0,0,1,0
14-02-04,10.151,720.64,1.88,-246,0.0,22.0,0.0,0,1,0
14-02-10,10.153,383.56,1.60,-89,3.5,0.0,3.5,1,0,1
14-02-15,10.152,418.49,1.59,-89,0.0,4.0,9.3,0,1,1
14-02-21,10.150,531.53,1.69,-89,0.0,9.8,15.1,0,1,1
14-02-27,10.152,625.62,1.69,-89,0.0,15.6,20.9,0,1,1
14-02-33,10.153,712.95,1.50,-89,0.0,21.4,26.8,0,1,1
14-02-39,10.152,414.15,1.30,-88,2.9,0.0,32.7,1,0,1
14-02-45,10.152,405.94,1.30,-89,0.0,3.4,38.5,0,1,1
14-02-50,10.152,522.71,1.30,-88,0.0,9.2,44.4,0,1,1
14-02-56,10.152,617.79,1.40,-89,0.0,15.0,50.2,0,1,1
14-03-02,10.151,705.37,1.20,-89,0.0,20.8,56.0,0,1,1
14-03-08,10.152,440.64,1.11,-88,2.5,0.0,61.9,1,0,1
14-03-14,10.152,393.10,1.11,-89,0.0,2.9,67.7,0,1,1
14-03-20,10.152,513.58,1.11,-88,0.0,8.7,73.5,0,1,1
14-03-25,10.152,609.57,1.10,-88,0.0,14.5,79.3,0,1,1
14-03-31,10.151,697.76,1.01,-89,0.0,20.3,85.1,0,1,1
14-03-37,10.152,470.03,0.91,-89,2.1,0.0,91.0,1,0,1
14-03-43,10.154,381.44,0.81,-88,0.0,2.4,96.8,0,1,1
14-03-49,10.151,505.42,0.91,-89,0.0,8.2,102.6,0,1,1
14-03-55,10.151,602.58,0.91,-89,0.0,14.1,108.5,0,1,1
14-04-00,10.152,691.39,0.81,-89,0.0,19.9,114.3,0,1,1
14-04-06,10.152,510.53,0.71,-88,1.4,0.0,120.1,1,0,1
14-04-12,10.152,365.04,0.71,-88,0.0,1.9,125.9,0,1,1
14-04-18,10.151,495.99,0.71,-89,0.0,7.7,131.7,0,1,1
14-04-24,10.151,594.47,0.71,-89,0.0,13.5,137.5,0,1,1
14-04-29,10.151,683.58,0.61,-89,0.0,19.3,143.3,0,1,1
14-04-35,10.152,548.06,0.62,-89,1.0,0.0,149.2,1,0,1
14-04-41,10.151,349.08,0.51,-89,0.0,1.4,155.0,0,1,1
14-04-47,10.151,486.97,0.52,-89,0.0,7.2,160.8,0,1,1
14-04-53,10.151,586.90,0.61,-90,0.0,13.0,166.6,0,1,1
