Time Stamp,10 Torr (AI0),1000 Torr (AI1),0-25% o2 (AI2),1000ppm O2 (AI3),Vac Sol Timer,Gas Sol Timer,O2 Sens Timer,Vac Sol State,Gas Sol State,O2 Sens Pwr
15-51-00,10.152,355.66,19.91,-246,0.0,2.1,0.0,0,1,0
15-51-01,10.151,385.06,19.91,-246,0.0,3.3,0.0,0,1,0
15-51-02,10.152,411.77,19.91,-246,0.0,4.4,0.0,0,1,0
15-51-03,10.151,436.91,19.91,-246,0.0,5.6,0.0,0,1,0
15-51-05,10.151,460.99,19.91,-246,0.0,6.7,0.0,0,1,0
15-51-06,10.152,484.30,20.10,-246,0.0,7.9,0.0,0,1,0
15-51-07,10.152,507.05,20.10,-246,0.0,9.1,0.0,0,1,0
15-51-08,10.152,529.10,20.30,-246,0.0,10.2,0.0,0,1,0
15-51-09,10.151,550.55,20.40,-246,0.0,11.4,0.0,0,1,0
15-51-10,10.152,571.91,20.59,-246,0.0,12.6,0.0,0,1,0
15-51-12,10.152,592.78,20.68,-246,0.0,13.7,0.0,0,1,0
15-51-13,10.152,613.21,20.98,-246,0.0,14.9,0.0,0,1,0
15-51-14,10.152,633.60,21.17,-246,0.0,16.0,0.0,0,1,0
15-51-15,10.152,652.77,21.27,-246,0.0,17.2,0.0,0,1,0
15-51-16,10.153,672.02,21.27,-246,0.0,18.4,0.0,0,1,0
15-51-17,10.152,691.03,21.27,-246,0.0,19.5,0.0,0,1,0
15-51-19,10.151,709.83,21.27,-246,0.0,20.7,0.0,0,1,0
15-51-20,10.152,728.21,21.27,-246,0.0,21.9,0.0,0,1,0
15-51-21,10.151,746.12,21.37,-246,0.0,23.0,0.0,0,1,0
15-51-22,10.152,584.56,21.17,-246,0.6,0.0,0.0,1,0,0
15-51-23,10.152,490.02,20.97,-246,1.8,0.0,0.0,1,0,0
15-51-24,10.151,416.10,20.88,-246,2.9,0.0,0.0,1,0,0
15-51-26,10.152,356.53,20.68,-246,4.1,0.0,0.0,1,0,0
15-51-27,10.152,308.02,20.43,-246,0.0,0.1,0.0,0,1,0
15-51-28,10.152,335.29,20.29,-246,0.0,1.3,0.0,0,1,0
15-51-29,10.152,367.54,20.29,-246,0.0,2.4,0.0,0,1,0
15-51-30,10.151,396.80,20.29,-246,0.0,3.6,0.0,0,1,0
15-51-31,10.151,423.64,20.19,-245,0.0,4.8,0.0,0,1,0
15-51-33,10.152,449.07,20.19,-246,0.0,5.9,0.0,0,1,0
15-51-34,10.152,473.18,20.19,-246,0.0,7.1,0.0,0,1,0
15-51-35,10.152,496.52,20.19,-246,0.0,8.3,0.0,0,1,0
15-51-36,10.152,519.45,20.19,-246,0.0,9.4,0.0,0,1,0
15-51-37,10.153,541.58,20.20,-246,0.0,10.6,0.0,0,1,0
15-51-38,10.153,563.27,20.29,-246,0.0,11.7,0.0,0,1,0
15-51-40,10.151,584.47,20.48,-246,0.0,12.9,0.0,0,1,0
15-51-41,10.152,605.45,20.58,-246,0.0,14.1,0.0,0,1,0
15-51-42,10.152,625.81,20.87,-246,0.0,15.2,0.0,0,1,0
15-51-43,10.152,645.68,20.97,-246,0.0,16.4,0.0,0,1,0
15-51-44,10.152,665.55,20.97,-246,0.0,17.6,0.0,0,1,0
15-51-45,10.152,684.75,20.87,-246,0.0,18.7,0.0,0,1,0
15-51-46,10.151,703.23,20.87,-246,0.0,19.9,0.0,0,1,0
15-51-48,10.152,721.42,20.77,-246,0.0,21.0,0.0,0,1,0
15-51-49,10.152,739.20,20.68,-246,0.0,22.2,0.0,0,1,0
15-51-50,10.151,745.06,20.48,-246,0.2,0.0,0.0,1,0,0
15-51-51,10.151,522.00,20.19,-246,1.3,0.0,0.0,1,0,0
15-51-52,10.151,440.69,19.90,-246,2.5,0.0,0.0,1,0,0
15-51-54,10.152,375.90,19.70,-246,3.7,0.0,0.0,1,0,0
15-51-55,10.152,323.91,19.51,-246,4.8,0.0,0.0,1,0,0
15-51-56,10.151,321.44,19.31,-246,0.0,0.8,0.0,0,1,0
15-51-57,10.151,357.84,19.22,-246,0.0,2.0,0.0,0,1,0
15-51-58,10.151,389.66,19.21,-246,0.0,3.1,0.0,0,1,0
15-51-59,10.152,417.78,19.22,-246,0.0,4.3,0.0,0,1,0
15-52-00,10.152,443.79,19.22,-246,0.0,5.5,0.0,0,1,0
15-52-02,10.151,468.16,19.22,-246,0.0,6.6,0.0,0,1,0
15-52-03,10.152,491.75,19.22,-245,0.0,7.8,0.0,0,1,0
15-52-04,10.153,514.39,19.22,-246,0.0,8.9,0.0,0,1,0
15-52-05,10.152,536.26,19.22,-246,0.0,10.1,0.0,0,1,0
15-52-06,10.151,557.67,19.22,-246,0.0,11.3,0.0,0,1,0
15-52-07,10.152,578.45,19.32,-246,0.0,12.4,0.0,0,1,0
15-52-09,10.152,598.67,19.51,-246,0.0,13.6,0.0,0,1,0
15-52-10,10.152,618.46,19.52,-246,0.0,14.8,0.0,0,1,0
15-52-11,10.152,637.71,19.61,-246,0.0,15.9,0.0,0,1,0
