Time Stamp,10 Torr (AI0),1000 Torr (AI1),0-25% o2 (AI2),1000ppm O2 (AI3),Vac Sol Timer,Gas Sol Timer,O2 Sens Timer,Vac Sol State,Gas Sol State,O2 Sens Pwr
15-59-16,10.151,394.98,-6.14,-246,5.0,0.0,0.0,1,0,0
15-59-22,10.151,409.96,-6.13,-246,0.0,3.6,0.0,0,1,0
15-59-28,10.152,518.37,-6.14,-246,0.0,9.4,0.0,0,1,0
15-59-34,10.151,605.29,-6.14,-246,0.0,15.2,0.0,0,1,0
15-59-40,10.152,685.02,-6.13,-246,0.0,21.0,0.0,0,1,0
15-59-45,10.152,597.33,-6.14,-246,0.5,0.0,0.0,1,0,0
15-59-51,10.151,325.51,-6.14,-246,0.0,0.8,0.0,0,1,0
15-59-57,10.151,463.42,-6.14,-246,0.0,6.6,0.0,0,1,0
16-00-03,10.152,556.94,-6.13,-246,0.0,12.4,0.0,0,1,0
16-00-09,10.151,639.49,-6.14,-246,0.0,18.2,0.0,0,1,0
16-00-15,10.152,716.52,-6.13,-246,0.0,24.1,0.0,0,1,0
16-00-20,10.152,418.01,-6.14,-246,2.9,0.0,0.0,1,0,0
16-00-26,10.152,396.52,-6.13,-246,0.0,3.3,0.0,0,1,0
16-00-32,10.152,505.35,-6.13,-246,0.0,9.1,0.0,0,1,0
16-00-38,10.152,593.08,-6.13,-246,0.0,14.9,0.0,0,1,0
16-00-44,10.151,672.85,-6.14,-246,0.0,20.7,0.0,0,1,0
16-00-49,10.152,747.79,-6.13,-246,0.0,26.5,0.0,0,1,0
16-00-55,10.151,310.71,-6.14,-246,5.3,0.0,0.0,1,0,0
16-01-01,10.151,447.49,-6.14,-246,0.0,5.7,0.0,0,1,0
16-01-07,10.152,544.38,-6.13,-246,0.0,11.5,0.0,0,1,0
16-01-13,10.151,628.06,-6.14,-246,0.0,17.3,0.0,0,1,0
16-01-18,10.152,705.92,-6.14,-246,0.0,23.1,0.0,0,1,0
16-01-24,10.151,475.40,-6.14,-246,2.0,0.0,0.0,1,0,0
16-01-30,10.152,374.76,-6.14,-246,0.0,2.3,0.0,0,1,0
16-01-36,10.152,491.36,-6.13,-246,0.0,8.1,0.0,0,1,0
16-01-42,10.150,581.13,-6.14,-246,0.0,13.9,0.0,0,1,0
16-01-48,10.151,662.16,-6.14,-246,0.0,19.8,0.0,0,1,0
16-01-53,10.151,737.78,-6.14,-246,0.0,25.6,0.0,0,1,0
16-01-59,10.152,337.40,-6.14,-246,4.5,0.0,0.0,1,0,0
16-02-05,10.152,433.67,-6.13,-246,0.0,5.0,0.0,0,1,0
16-02-11,10.151,533.71,-6.14,-246,0.0,10.8,0.0,0,1,0
16-02-17,10.150,618.13,-6.14,-246,0.0,16.6,0.0,0,1,0
16-02-22,10.152,697.30,-6.14,-246,0.0,22.4,0.0,0,1,0
16-02-28,10.152,508.81,-6.13,-246,1.4,0.0,0.0,1,0,0
16-02-34,10.152,360.47,-6.14,-246,0.0,1.9,0.0,0,1,0
16-02-40,10.152,482.24,-6.13,-246,0.0,7.7,0.0,0,1,0
16-02-46,10.152,572.93,-6.13,-246,0.0,13.5,0.0,0,1,0
16-02-51,10.151,654.85,-6.13,-246,0.0,19.3,0.0,0,1,0
16-02-57,10.152,731.29,-6.14,-246,0.0,25.1,0.0,0,1,0
16-03-03,10.151,367.75,-6.14,-246,4.0,0.0,0.0,1,0,0
16-03-09,10.151,420.33,-6.13,-246,0.0,4.3,0.0,0,1,0
16-03-15,10.152,523.88,-6.13,-246,0.0,10.1,0.0,0,1,0
16-03-21,10.151,609.76,-6.13,-246,0.0,15.9,0.0,0,1,0
16-03-26,10.151,688.93,-6.14,-246,0.0,21.7,0.0,0,1,0
16-03-32,10.152,568.51,-6.14,-246,0.7,0.0,0.0,1,0,0
16-03-38,10.152,337.71,-6.14,-246,0.0,1.2,0.0,0,1,0
16-03-44,10.151,471.38,-6.14,-246,0.0,7.0,0.0,0,1,0
16-03-50,10.151,564.29,-6.13,-246,0.0,12.8,0.0,0,1,0
16-03-55,10.152,646.70,-6.14,-246,0.0,18.6,0.0,0,1,0
16-04-01,10.152,724.11,-6.14,-246,0.0,24.4,0.0,0,1,0
16-04-07,10.152,391.31,-6.13,-246,3.4,0.0,0.0,1,0,0
16-04-13,10.152,410.27,-6.13,-246,0.0,3.8,0.0,0,1,0
16-04-19,10.152,516.48,-6.13,-246,0.0,9.6,0.0,0,1,0
16-04-24,10.151,603.42,-6.14,-246,0.0,15.5,0.0,0,1,0
16-04-30,10.151,683.11,-6.14,-246,0.0,21.3,0.0,0,1,0
16-04-36,10.151,659.19,-6.14,-247,0.2,0.0,0.0,1,0,0
16-04-42,10.152,321.45,-6.14,-246,0.0,0.7,0.0,0,1,0
16-04-48,10.151,463.20,-6.14,-246,0.0,6.5,0.0,0,1,0
16-04-54,10.152,558.02,-6.13,-246,0.0,12.3,0.0,0,1,0
16-04-59,10.152,641.14,-6.14,-246,0.0,18.1,0.0,0,1,0
16-05-05,10.151,718.42,-6.14,-246,0.0,23.9,0.0,0,1,0
16-05-11,10.152,408.23,-6.14,-246,3.0,0.0,0.0,1,0,0
16-05-17,10.152,402.58,-6.14,-246,0.0,3.5,0.0,0,1,0
16-05-23,10.152,510.84,-6.13,-246,0.0,9.3,0.0,0,1,0
16-05-28,10.151,598.57,-6.13,-246,0.0,15.1,0.0,0,1,0
16-05-34,10.151,679.08,-6.14,-246,0.0,20.9,0.0,0,1,0
16-05-40,10.151,753.97,-6.14,-246,0.0,26.7,0.0,0,1,0
16-05-46,10.152,307.01,-6.13,-246,0.0,0.2,0.0,0,1,0
16-05-52,10.152,457.08,-6.13,-246,0.0,6.0,0.0,0,1,0
16-05-57,10.151,553.08,-6.14,-246,0.0,11.9,0.0,0,1,0
16-06-03,10.152,639.63,-6.13,-89,0.0,17.9,5.8,0,1,1
16-06-09,10.152,717.52,-6.13,-89,0.0,23.7,11.6,0,1,1
16-06-15,10.152,416.02,-6.13,-89,2.9,0.0,17.4,1,0,1
16-06-21,10.151,400.61,-6.13,-89,0.0,3.4,23.2,0,1,1
16-06-27,10.151,509.76,-6.13,-89,0.0,9.2,29.0,0,1,1
16-06-32,10.152,598.03,-6.13,-89,0.0,15.0,34.8,0,1,1
16-06-38,10.151,678.35,-6.14,-89,0.0,20.8,40.6,0,1,1
16-06-44,10.151,753.71,-6.14,-89,0.0,26.6,46.5,1,0,1
16-06-50,10.151,311.51,-6.14,-89,0.0,0.3,52.3,0,1,1
16-06-56,10.151,459.26,-6.14,-88,0.0,6.2,58.1,0,1,1
16-07-02,10.150,554.73,-6.14,-89,0.0,12.0,63.9,0,1,1
16-07-07,10.151,638.97,-6.13,-89,0.0,17.8,69.7,0,1,1
16-07-13,10.152,716.66,-6.13,-89,0.0,23.6,75.5,0,1,1
16-07-19,10.152,423.08,-6.14,-89,2.8,0.0,81.3,1,0,1
16-07-25,10.152,398.43,-6.13,-89,0.0,3.3,87.1,0,1,1
16-07-31,10.152,508.80,-6.14,-89,0.0,9.1,93.0,0,1,1
16-07-36,10.151,597.36,-6.13,-89,0.0,14.9,98.8,0,1,1
16-07-42,10.152,677.95,-6.14,-89,0.0,20.7,104.6,0,1,1
16-07-48,10.151,753.44,-6.14,-89,0.0,26.5,110.4,1,0,1
16-07-54,10.152,313.78,-6.14,-89,0.0,0.5,116.2,0,1,1
16-08-00,10.151,460.20,-6.14,-89,0.0,6.3,122.0,0,1,1
16-08-05,10.152,555.79,-6.13,-89,0.0,12.1,127.8,0,1,1
16-08-11,10.152,639.75,-6.14,-89,0.0,17.9,133.6,0,1,1
16-08-17,10.152,717.86,-6.14,-89,0.0,23.7,139.4,0,1,1
16-08-23,10.153,407.49,-6.14,-89,3.1,0.0,145.3,1,0,1
16-08-29,10.151,404.15,-6.14,-89,0.0,3.5,151.1,0,1,1
16-08-35,10.151,512.76,-6.14,-89,0.0,9.3,156.9,0,1,1
16-08-40,10.152,600.65,-6.14,-89,0.0,15.1,162.7,0,1,1
16-08-46,10.152,681.50,-6.14,-89,0.0,20.9,168.5,0,1,1
16-08-52,10.152,756.94,-6.14,-89,0.1,0.0,174.3,1,0,1
16-08-58,10.152,318.15,-6.14,-89,0.0,0.5,180.1,0,1,1
16-09-04,10.152,463.06,-6.14,-89,0.0,6.3,185.9,0,1,1
16-09-09,10.152,558.64,-6.14,-90,0.0,12.1,191.7,0,1,1
16-09-15,10.152,642.64,-6.13,-89,0.0,17.9,197.5,0,1,1
16-09-21,10.152,720.51,-6.13,-89,0.0,23.7,203.4,0,1,1
16-09-27,10.151,405.45,-6.14,-90,3.1,0.0,209.2,1,0,1
16-09-33,10.152,406.83,-6.14,-89,0.0,3.6,215.0,0,1,1
16-09-38,10.152,515.29,-6.13,-89,0.0,9.4,220.8,0,1,1
16-09-44,10.151,603.37,-6.14,-90,0.0,15.2,226.6,0,1,1
16-09-50,10.151,684.03,-6.14,-89,0.0,21.0,232.4,0,1,1
16-09-56,10.152,603.34,-6.14,-89,0.3,0.0,238.2,1,0,1
16-10-02,10.152,328.23,-6.13,-89,0.0,0.8,244.0,0,1,1
16-10-07,10.151,468.11,-6.13,8,0.0,6.6,249.8,0,1,1
16-10-13,10.150,562.88,-6.14,12,0.0,12.4,255.7,0,1,1
16-10-19,10.151,646.58,-6.14,16,0.0,18.2,261.5,0,1,1
16-10-25,10.152,724.22,-6.14,20,0.0,24.1,267.3,0,1,1
16-10-31,10.152,392.38,-6.14,12,3.4,0.0,273.1,1,0,1
16-10-37,10.152,413.33,-6.14,8,0.0,3.8,278.9,0,1,1
16-10-42,10.152,520.63,-6.13,8,0.0,9.7,284.7,0,1,1
16-10-48,10.152,607.89,-6.14,8,0.0,15.5,290.5,0,1,1
16-10-54,10.151,688.97,-6.13,8,0.0,21.3,296.3,0,1,1
16-11-00,10.151,557.03,-6.14,9,0.8,0.0,302.1,1,0,1
16-11-06,10.151,344.90,-6.14,8,0.0,1.3,308.0,0,1,1
16-11-11,10.152,476.68,-6.14,8,0.0,7.1,313.8,0,1,1
16-11-17,10.151,570.22,-6.13,8,0.0,12.9,319.6,0,1,1
16-11-23,10.152,653.21,-6.13,8,0.0,18.7,325.4,0,1,1
16-11-29,10.151,731.42,-6.14,8,0.0,24.5,331.2,0,1,1
16-11-35,10.151,359.21,-6.13,8,4.1,0.0,337.0,1,0,1
16-11-40,10.152,428.29,-6.13,8,0.0,4.5,342.8,0,1,1
16-11-46,10.152,499.89,-6.14,8,0.0,0.0,348.7,0,0,1
